Quarter,Dept,Business area or arms length body,Contract Title and description,Supplier,KPI name and description,Good target,Rating,Can this KPI be published,Comments
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,The provision of Probation Officers to the Probation Service,Red Snapper Recruitment Limited,Operational Time: Time from  requirement briefing to candidate offer,100.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Prison Operator Services HMP Ashfield,Serco,N/A,N/A,Recorded Elsewhere,Yes,The most recent publication can be found at: https://www.gov.uk/government/collections/prison-and-probation-trusts-performance-statistics.
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,Wide Area Network (WAN) Services,Vodafone,Incident Resolution - severity 1 incidents resolved within 120 mins,98.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,"L4 Child, Parent, Families Practitioner Apprenticeship",The Childcare Company,"The Supplier will ensure that all learners who enter Gateway, successfully achieve their End Point Assessment examinations",90.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Unilink Self-Service Kiosks and Associated Services - New 2023,Unilink,Resolve 95% of severity level 2 incidents within 4 hours for remote resolution or 8 hours if onsite presence required. 8 hours at all contracted sites. Service Hours (business day) excel Bank Holidays,95.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,FM assurance services,Kellogg Brown & Root Ltd,The Supplier will ensure that Planned Preventative Maintenance (PPM)/Planned Services Work Orders issued to FM Suppliers 3 weeks prior to commencement of the month in which the PPM work is required (OPSM3),99.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Personal Wellbeing Services in West Yorkshire,Ingeus UK Limited,"QM1 - Quality of delivery of intervention: provision enables
Service Users to make progress in addressing their offending related needs and achievement of Agreed Outcomes",>87%,Recorded Elsewhere,Yes,"Contract level performance data is not available. Currently Probation performance is published on a regional level (North East, North West etc.) and is blended across each of the services, this is due to first generation contracts known as Community rehabilitation Contracts which were regionally aligned and responsible for total service delivery making blended service statistics appropriate. Commercial are working with supplier, Head of Performance and Head of Statistics to put a change request in place. MoJ expects contract level performance data to be available July 2025 in line with other MoJ performance data reporting requirements. In the interim, blended performance data is published a year in arrears (like the prisons programme) on the Gov.UK website here: https://www.gov.uk/government/statistics/community-performance-annual-update-to-march-2023."
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Prison Operator Services - HMP Forest Bank,Sodexo Ltd,N/A,N/A,Recorded Elsewhere,Yes,The most recent publication can be found at: https://www.gov.uk/government/collections/prison-and-probation-trusts-performance-statistics.
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Prison Operator Services - HMP Five Wells,G4S Care and Justice Services (UK) Ltd,N/A,N/A,Recorded Elsewhere,Yes,The most recent publication can be found at: https://www.gov.uk/government/collections/prison-and-probation-trusts-performance-statistics.
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Prison Operator Services - HMP Altcourse,Sodexo Ltd,N/A,N/A,Recorded Elsewhere,Yes,The most recent publication can be found at: https://www.gov.uk/government/collections/prison-and-probation-trusts-performance-statistics.
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Prison Operator Services - HMP Forest Bank,Sodexo Ltd,N/A,N/A,Recorded Elsewhere,Yes,The most recent publication can be found at: https://www.gov.uk/government/collections/prison-and-probation-trusts-performance-statistics.
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,Provision of Courier Services to MoJ and Executive Agencies,DX Network Services Limited,"Measures On-Time Delivery Performance to the correct address (subject to site opening times and any action proven not to be the fault of the courier), in line with the applicable Service Levels by Zones in table 2 below, for all correctly addressed packages (excluding 9am delivery and excluding Document Exchange)",95.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,SSHP HMP Humber Main Works (East),Laing O'Rourke Construction Limited,The number of apprentices employed or trainees supported over the duration of the project. East: 10apprentices or trainees across both sites,From 90% of compliance,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,SSHP HMP Humber Main Works (East),Laing O'Rourke Construction Limited,Percentage of value of work subcontracted using the PBA for sub-contract appointments made post Main Works contract execution only. Target: 80% of value of work using PBA. (PBA the be set up no more than 1 month after the contract execution).,80% of value of work using PBA.,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,National Payment line services,British Telecommunications PLC,Provision of payment data - BT to provide all payment data/files within 24 hours of transactions,100.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,The provision of agency operational workers for the Probation Service,Service Care Solutions,Operational Time: Time from  requirement briefing to candidate offer,100.00%,Requires Improvement,Yes,"The KPI was not fully achieved in Q4, primarily due to seasonal factors associated with the year-end holiday period. Recruitment requirements released in December were subject to reduced availability and delayed responsiveness from both candidates and hiring managers. As a result, a proportion of interviews were deferred into January, extending the overall recruitment lifecycle. This led to increased timelines between requirement briefing and offer stage, thereby impacting delivery against the established KPI for the quarter"
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,CAS3 NRO - Lot 1 North East,Mears Limited,Actions are in place to address the social value elements of the contract. Staff with lived experience and Programmes to develop life skills,Actions taken and the results are visible and positive,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,CAS3 CHa - Lot 4 Kent Surrey and Sussex,Housing Action Management Ltd,The Quantity of beds in service as agreed in the contract after the mobilisation period of 6 months (or agreed volume after the quarterly review) is met.,95.00%,Approaching Target,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,CFO Evolution - Lot 2 North East,Ingeus UK Limited,"Achievement by the supplier of required overall monthly performance percentage score, as defined within the Contract, across all the following Service Levels:
SL1 – Enrolments and Inductions
SL2 – Pre-Release and Through the Gate Support
SL3 – Number of Activities undertaken
SL5 – Employment and Training Outcomes",91-100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,Evolve LAN Services,British Telecommunications PLC,Incident Resolution Times - Sev 1 & Sev 2,0 minutes late,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Lincolnshire Accommodation Contract,Lincolnshire County Council,"There are a range of targets that relate to the timely provision of required information to the Authority; the delivery of a safe, well managed and high quality service for Children and Young People, including compliance with regulatory and inspection standards; and the appropriate management of risk, including restraint minimisation and the prevention of self harm, in line with the Performance Mechanism",0–24 points,Good,Yes,"Due to the nature of the contract and how performance is measured, captured and reported there is only a single summary metric being reported that reflects a number of KPI's.  The full contract including the performance mechanism has been published on Contracts Finder and is available to the public."
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,Estate Management Services - MoJ/HMPPS Estate,Cushman & Wakefield,"NCS1 Request for Service – Quotations: The Supplier shall ensure that they are issuing Request for Service quotations within 10 Working Days of a request, unless expressly agreed otherwise",95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,Contract for the Provision of Soft FM Services – South,OCS,"SYM1 Adherence to Planned Guarding/security requirements (number of guards, shifts and uniformed). (Number of planned shifts supplied divided by number of shifts required x 100)",99.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Accommodation Services - East Midlands,Nacro,"SL2 - Intervention Appointment attended by Service User
The percentage of Referred Service Users assessed as suitable who attended an
Intervention Appointment (which may include the Intervention Commencement Appointment).",90.00%,Recorded Elsewhere,Yes,"Contract level performance data is not available. Currently Probation performance is published on a regional level (North East, North West etc.) and is blended across each of the services, this is due to first generation contracts known as Community rehabilitation Contracts which were regionally aligned and responsible for total service delivery making blended service statistics appropriate. Commercial are working with supplier, Head of Performance and Head of Statistics to put a change request in place. MoJ expects contract level performance data to be available July 2025 in line with other MoJ performance data reporting requirements. In the interim, blended performance data is published a year in arrears (like the prisons programme) on the Gov.UK website here: https://www.gov.uk/government/statistics/community-performance-annual-update-to-march-2023."
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Independent Approved Premises - Elizabeth Fry,ELIZABETH FRY CHARITY,"First Induction on day of arrival. 1st induction is measured via date of arrival and date
of induction.",95.00%,Good,Yes,"There is one recorded failure for this KPI in February which shows the first part induction was completed 15 days late following the resident’s arrival on 25/02/26. The induction was completed within the required timeframe and recorded correctly on NDelius, but it appears that the date of the previous release had been used for the calculation, the resident having returned to the AP following 14-day recall."
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,MoJ Digital Service Desk,CGI IT UK Limited,SLT 002a - Channel Abandonment Rate: Voice Contacts - Measurement of the timeliness of answering Voice Contact Calls.,<2%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,SSHP HMP Onley Main Works (S&C),Wates Construction Limited,Percentage of value of work subcontracted using the PBA for sub-contract appointments made post Main Works contract execution only. Target: 80% of value of work using PBA. (PBA the be set up no more than 1 month after the contract execution).,80% of value of work using PBA.,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Bullingdon Main works order,Kier Construction Ltd,Delivery to Programme - Delivery of the Construction project at a time consistent with the pre-agreed construction schedule. (measured as days late),0,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,Online Legal Resources Thomson Reuters,Thomson Reuters,Requests for access must be resolved within 2 working days of notification by the Authority,>98%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Catering Disposables - Bunzl,Bunzl Catering Supplies,KPI 1 The total Products delivered to sites matches the total Products in the final accepted order.,99.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,Court Reporting and Transcription Services - Off-Site Transcription Services - North West Region,MARTEN WALSH CHERER LTD,Timeliness of transcript (an overall percentage of all time periods completed on time),99.50%,Approaching Target,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,Approved Enforcement Agency Services - Lot 4 - North East,Marston Holdings Limited,75% of Breach Warrants issued to be successfully executed within 90 calendar days of receipt for adults and 45 calendar days of receipt for Youth,75.00%,Other - Consider returned,Yes,"Due to technical reasons, data is not available for this quarter. Technical teams are working on both sides to resolve the issue, expected to be resolved by Q1 2026/27"
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,MSP Cyber Security 2024,Cyberfort Limited,Ensure standard of delivery meets or exceeds target Programme expectations,100.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,SSHP HMP Northumberland Main Works (North),kier Construction Ltd,"Carbon emissions from construction activities, measured in kilograms of carbon dioxide emissions for every £100,000 of construction spend.",≤ 400 kgCO2e/£100k,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,CAS3 NRO - Lot 1 North East,Mears Limited,KPI 3 - Response to Referrals. All referrals for suitable accommodation placement shall be processed by the supplier in the agreed timescales. This is quantified by the monthly number of referrals meeting the agreed timescales divided by the monthly number of referrals as a percentage.,98.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,Language Services - Lot 3 Non-Spoken Language Services,Clarion Interpreting Ltd,Availability of the booking service (excluding the planned maintenance and unavailability),> 99.5%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Independent Approved Premises - Hestia Battersea,Hestia Housing & Support,"First Induction on day of arrival. 1st induction is measured via date of arrival and date
of induction.",95.00%,Good,Yes,Provider agrees with the figures and no concerns raised.
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,ICT WAN/LAN Services,Vodafone,Incident Resolution - severity 2 incidents resolved within 240 mins,98.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,CFO Evolution - Lot 5 East Midlands,Ingeus UK Limited,"Achievement by the supplier of required overall monthly performance percentage score, as defined within the Contract, across all the following Service Levels:
SL1 – Enrolments and Inductions
SL2 – Pre-Release and Through the Gate Support
SL3 – Number of Activities undertaken
SL5 – Employment and Training Outcomes",91-100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Accommodation Services for London,St Mungo Community Housing Association,"SL1 - Supplier Assessment Appointment offered to Referred Service Users
The percentage of Referred Service Users who were offered a Supplier Assessment Appointment within ten (10) Working Days of Referral.",95.00%,Recorded Elsewhere,Yes,"Contract level performance data is not available. Currently Probation performance is published on a regional level (North East, North West etc.) and is blended across each of the services, this is due to first generation contracts known as Community rehabilitation Contracts which were regionally aligned and responsible for total service delivery making blended service statistics appropriate. Commercial are working with supplier, Head of Performance and Head of Statistics to put a change request in place. MoJ expects contract level performance data to be available July 2025 in line with other MoJ performance data reporting requirements. In the interim, blended performance data is published a year in arrears (like the prisons programme) on the Gov.UK website here: https://www.gov.uk/government/statistics/community-performance-annual-update-to-march-2023."
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Prison Food,BFS Group Limited – T/A Bidfood,Fulfilment - % total Products delivered compliant with total Products in final agreed and accepted Order,99.00%,Approaching Target,Yes,"We have seen continued improvement in KPI 2 for Q4 now a strong  ‘Approaching Target’ despite recurrence of Avian Flu although not impacting presently. New Catering policy will be impacting as product volumes change over coming months towards new healthy products required, this is expected to impact over the coming 12 months. Impact of the Iran war may affect product availability over coming months."
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Electronic Monitoring - FMS,Serco,"The FMS Supplier shall attempt, on no fewer than 2 occasions, to fit the correct Device to the correct Device- Wearer (Adult) no later than Midnight the day after the  date on which Monitoring Requirements commence - 95%.",95.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,Vehicle Hire RM6265 - Lot 1 Hire of Vehicles up to 3.5T,Enterprise Rent-A-Car UK Limited,Vehicle availability - The correct spec/class of Vehicles are to be made available.,98.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,CAS3 NRO - London South West,Housing Action Management Ltd,KPI 3 - Response to Referrals. All referrals for suitable accommodation placement shall be processed by the supplier in the agreed timescales. This is quantified by the monthly number of referrals meeting the agreed timescales divided by the monthly number of referrals as a percentage.,98.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,SSHP HMP Northumberland Main Works (North),kier Construction Ltd,Percentage of value of work subcontracted using the PBA for sub-contract appointments made post Main Works contract execution only. Target: 80% of value of work using PBA. (PBA the be set up no more than 1 month after the contract execution).,80% of value of work using PBA.,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,CFO Evolution - Lot 9 South East,The Shaw Trust Limited,"Supplier to undertake a review every six (6) months of Social Value Action Plan, including provision of evidence of effective action being undertaken to meet the targets and actions identified within that plan and the result of those actions.",91-100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,CAS3 NRO - Lot 4 South West,The Housing Network,"Beds in service meet the specification for that month, subject to a sample check by the Authority",90.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,CFO Evolution - Lot 7 London,Reed in Partnership,"Supplier to undertake a review every six (6) months of Social Value Action Plan, including provision of evidence of effective action being undertaken to meet the targets and actions identified within that plan and the result of those actions.",91-100%,Approaching Target,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,Contract for the Provision of Soft FM Services – North,Sodexo Ltd,WMM1 Adherence to the Planned Waste collection service. (Number of planned waste collections adhered to divided by total number of planned waste collections required x 100),98.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,Approved Enforcement Agency Services - Lot 1 - London,CDER Group Limited,75% of Breach Warrants issued to be successfully executed within 90 calendar days of receipt for adults and 45 calendar days of receipt for Youth,75.00%,Approaching Target,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,CAS3 CHa - Lot 3 North West,Mears Limited,"Beds in service meet the specification for that month, subject to a sample check by the Authority",90.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Prison Operator Services - HMP Altcourse,Sodexo Ltd,N/A,N/A,Recorded Elsewhere,Yes,The most recent publication can be found at: https://www.gov.uk/government/collections/prison-and-probation-trusts-performance-statistics.
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,"Drug Testing Service Provision (DTSP) - Laboratory Analysis Goods, Services and Prevalence Testing",ABBOTT TOXICOLOGY PLC,2.5% annual reduction in incineration emissions of clinical waste over the lifetime of the contract.  ,99.00%,Other - Consider returned,Yes,This KPI is reported on annually which is July 2026.
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,Court Reporting and Transcription Services - Off-Site Transcription Services - Midlands Region,Epiq Europe Ltd,Upheld complaint by Authority (complaints investigated and upheld by the authority),<5%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,Contract for the provision of serviced accommodation for Magistrates' Courts at Derby and Chesterfield.,Derbyshire Courts Ltd,Provision of a cleaning service at each court centre. The percentages are based on failure rates throughout the month.,100.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Contract to Provide Custodial Services and Works at HMP Northumberland.,Sodexo Ltd,Not applicable as performance of contract is published externally.,N/A,Recorded Elsewhere,Yes,The most recent publication can be found at: https://www.gov.uk/government/collections/prison-and-probation-trusts-performance-statistics.
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,SSHP HMP Ranby Main Works (East),Laing O'Rourke Construction Limited,"Considerate Constructors Scheme (CCS). Considerate Constructor Scheme score, as measured by CCS representatives, to achieve Excellent performance. To achieve Excellent performance in the final assessment by CCS. This is 13 or more out of 15 in  all three sections* (39 points or more out of 45). In ongoing assessments to score 13 or more out of 15 in all 3 sections* (*excludes additional / innovation points)",≥39 points,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Community Justice Learning Long Term - Lot 1,University of Portsmouth,"The Contractor shall retain [5% or more] of people from underrepresented groups as a proportion of the Contractors total FTE workforce where ‘workforce’ is determined by the Authority acting reasonably and which shall include all employees, contractors and workers directly engaged or available to work for the Contractor in the provision of services that either the Contractor provides or which directly serve the Contractor and which shall include the Contractor’s directly appointed subcontractors, but which shall not include hires or workers of third parties within the Contractors wider /indirect supply chain.",5.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,Provision of Courier Services to MoJ and Executive Agencies,DX Network Services Limited,"The Supplier shall provide a status report 3 Months after the Call Off Start Date, and then every 3 Months after that presenting an action plan to provide the Buyer with assurances that Social Value activities and targets as outlined in the Specification are being met, alongside any additional initiatives proposed and agreed from time to time.",100.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,Legal Aid Agency,"LAA Digital Transformation – Means Eligibility, Match a Provider and Digital Delivery Services",Made Tech Limited,Quality and accuracy of Management Information Reports (including Performance Monitoring Reports) received within agreed reporting,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Electronic Monitoring - FMS,Serco,The Service (Device-Wearer and Order) Management System shall achieve Service Availability of 99.8%,99.80%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Education Service Provision for HM YOI Feltham,The Shaw Trust Limited,Increase and/or maintain the diversity of the contract workforce,20.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Youth Education Service Provision HM YOI Wetherby,LTE Group (Trading as Novus),Every child or Learner has a Baseline Education assessment completed for every child and Learner within five (5) Working Days of entry to the Secure Setting.,100.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,AMS Services Contract (2023-2025),CGI IT UK Limited,The 98% of minor incidents (P3s) resolved within the agreed 8 service hour target (dependent on banding). *P3 is a non critical incident (such as printing not working). (98%; Represents all P3 incidents resolved within 8 hours),98.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Unilink Self-Service Kiosks and Associated Services - New 2023,Unilink,Number of apprentices (one or more) delivered annually over the period of the contract,1,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Provision of Custodial Services at HMP/YOI Doncaster.,Serco,Not applicable as performance of contract is published externally.,N/A,Recorded Elsewhere,Yes,The most recent publication can be found at: https://www.gov.uk/government/collections/prison-and-probation-trusts-performance-statistics.
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,Contract for the provision of serviced accommodation for Magistrates' Courts at Bristol and Worle and Office accommodation at Works,Services Support (Avon & Somerset) Ltd,"Management of building services generally to include helpdesk, staffing and regulatory inspections.
This translates into - is the building available and is it well maintained in accordance with the legal obligations.",95.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,Evolve LAN Services,British Telecommunications PLC,Incident Resolution Times - Sev 3,98%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Total Facilities Management Contract - Work Package C.,Mitie Care & Custody,"Planned Preventative Maintenance (Red Tasks)
These are maintenance tasks required to maintain a minimum standard. The KPI reports the captured percentage of such tasks identified, using the relevant tool, which are satisfactorily completed by their “complete by” date on a calendar monthly basis. The rationale is to drive a pro-active programme of maintenance, service and inspections in line with current relevant legislations and mandatory requirements. The target is to have supplier complete 100% of such tasks scheduled for completion in the reporting month.",100.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Women's Services in West Yorkshire,Together Women Project,"QM1 - Quality of delivery of intervention: provision enables
Service Users to make progress in addressing their offending related needs and achievement of Agreed Outcomes",>87%,Recorded Elsewhere,Yes,"Contract level performance data is not available. Currently Probation performance is published on a regional level (North East, North West etc.) and is blended across each of the services, this is due to first generation contracts known as Community rehabilitation Contracts which were regionally aligned and responsible for total service delivery making blended service statistics appropriate. Commercial are working with supplier, Head of Performance and Head of Statistics to put a change request in place. MoJ expects contract level performance data to be available July 2025 in line with other MoJ performance data reporting requirements. In the interim, blended performance data is published a year in arrears (like the prisons programme) on the Gov.UK website here: https://www.gov.uk/government/statistics/community-performance-annual-update-to-march-2023."
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,Travel and Accommodation 2023,Corporate Travel Management (North) Limited,Booking completion times The Supplier shall as a minimum meet the following booking completion times: Online bookings shall be completed instantly. 100% of online bookings to be completed and confirmed instantly. Exceptions are transactions that do not have live availability/inventory. 100% of online bookings to be completed and confirmed instantly. Exceptions are transactions that do not have live availability/inventory.,>90%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Supply of woven fabric to prison industries,Vision Linens Ltd,"Social Value - Annual change in emissions of greenhouse gases, measured in metric tonnes carbon dioxide equivalent (MTCDE)",<0,Other - Consider returned,Yes,KPI not relevant until end of year 2 - to be reported annually commencing Q1 2027
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,MoJ Mobile Services - 2024,Telefonica UK Ltd,"Incident Resolution - Level 4, Severity 1 & 2 - is 6 Hours",95.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Prison Operator Services Mini-Competition - HMP & YOI Parc,G4S Care and Justice Services (UK) Ltd,N/A,N/A,Recorded Elsewhere,Yes,The most recent publication can be found at: https://www.gov.uk/government/collections/prison-and-probation-trusts-performance-statistics.
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,CAS3 NRO - London North West,Housing Action Management Ltd,Actions are in place to address the social value elements of the contract. Staff with lived experience and Programmes to develop life skills,Actions taken and the results are visible and positive,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,Audio Visual Meeting Rooms,Specialist Computer Centres PLC,The number of invoices issued within the measurement period that were not issued within two weeks of either installation completion and/or goods delivered (whichever latest).,2 or less,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,CAS3 CHa - Lot 1 East of England,The Housing Network,KPI 3 - Response to Referrals. All referrals for suitable accommodation placement shall be processed by the supplier in the agreed timescales. This is quantified by the monthly number of referrals meeting the agreed timescales divided by the monthly number of referrals as a percentage.,98.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,HMCTS Common Services components as a managed service,CGI IT UK Limited,"The Supplier is expected to produce a high-level report to be shared with the relevant Buyer’s contact. Successful submission of the review on the second Thursday of each calendar month (or as agreed with the Buyer), accurately representing the deliverables and commercial aspects in accordance with the template.",100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,Approved Enforcement Agency Services - Lot 7 - Wales,Jacobs,98% of Warrants of Control to be successfully executed or progressed,98.00%,Approaching Target,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Independent Approved Premises - Hestia Streatham,Hestia Housing & Support,"First Induction on day of arrival. 1st induction is measured via date of arrival and date
of induction.",95.00%,Good,Yes,Provider agrees figures and raised no concerns
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,Personal Wellbeing Services in London,Catch22 Charity Limited,"SL2 - Intervention Appointment attended by Service User
The percentage of Referred Service Users assessed as suitable who attended an
Intervention Appointment (which may include the Intervention Commencement Appointment).",90.00%,Recorded Elsewhere,Yes,"Contract level performance data is not available. Currently Probation performance is published on a regional level (North East, North West etc.) and is blended across each of the services, this is due to first generation contracts known as Community rehabilitation Contracts which were regionally aligned and responsible for total service delivery making blended service statistics appropriate. Commercial are working with supplier, Head of Performance and Head of Statistics to put a change request in place. MoJ expects contract level performance data to be available July 2025 in line with other MoJ performance data reporting requirements. In the interim, blended performance data is published a year in arrears (like the prisons programme) on the Gov.UK website here: https://www.gov.uk/government/statistics/community-performance-annual-update-to-march-2023."
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,CAS3 CHa - Lot 3 North West,Mears Limited,KPI 3 - Response to Referrals. All referrals for suitable accommodation placement shall be processed by the supplier in the agreed timescales. This is quantified by the monthly number of referrals meeting the agreed timescales divided by the monthly number of referrals as a percentage.,98.00%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMPPS,CAS3 NRO - Lot 3 East Midlands,The Housing Network,KPI 3 - Response to Referrals. All referrals for suitable accommodation placement shall be processed by the supplier in the agreed timescales. This is quantified by the monthly number of referrals meeting the agreed timescales divided by the monthly number of referrals as a percentage.,98.00%,Approaching Target,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,Court Reporting and Transcription Services - Off-Site Transcription Services - South West & Wales Region,The Transcription Agency,Upheld complaint by Authority (complaints investigated and upheld by the authority),<5%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,Provision of Shared Services,Shared Services Connected Limited (SSCL),SL05.01: Payroll Accuracy. Number of rectifications to total payroll required each month as a result of actions or errors made by SSCL; requiring corrective actions in the current month or deferred to a following month. Reported as accuracy,≤ 200 errors,Good,Yes,"This measure is now reported 2 month in arrears The data is for November 2025, December 2025 and January 2026.
We will not have the February 2026 and March 2026 until May 2026."
FY25-26 Q4 Jan-Feb-Mar,MOJ,MoJ HQ,Provision of Shared Services,Shared Services Connected Limited (SSCL),"Number of individuals engaged annually (means contract year, Nov 1st-31st Oct) in employability initiatives (including apprentice-ships, work placements, insight days, kickstart, prison leavers' employability support) reported by UK region.",50,Good,Yes,588 is the running total from Nov 1st 2025 to end of March 2026
FY25-26 Q4 Jan-Feb-Mar,MOJ,HMCTS,Contract for the provision of serviced accommodation for a family court at Sheffield,Palecastle Ltd,"Provide Asset Management to include building and site maintenance, emergency, proactive and reactive repairs which are managed through sub-KPI’s. Performance is measured against several criteria such as carrying out a physical check in the month, or how quickly they react to a call out.",95.00%,Good,Yes,
